row_ID,final_price
35000,2841.8823
35001,2867.2283
35002,3406.957
35003,838.1466
35004,6340.022
35005,4552.0786
35006,6489.552
35007,2762.6714
35008,4849.5986
35009,6699.5605
35010,6643.9263
35011,8571.16
35012,1695.2004
35013,235.35992
35014,9903.996
35015,16270.7705
35016,4737.3916
35017,4447.701
35018,12705.483
35019,3449.2205
35020,324.58356
35021,7502.4395
35022,13071.152
35023,5313.0117
35024,5768.445
35025,2287.4746
35026,4376.9097
35027,4932.7026
35028,2983.996
35029,26634.402
35030,5744.1787
35031,1769.9835
35032,13746.009
35033,10650.665
35034,4660.555
35035,12765.9
35036,7066.611
35037,6233.063
35038,3458.841
35039,9270.744
35040,2995.5667
35041,5915.728
35042,3578.2483
35043,4027.1675
35044,2887.1206
35045,2329.2136
35046,408.2353
35047,4946.1484
35048,4807.9863
35049,7737.42
35050,1827.0768
35051,8066.8096
35052,9021.443
35053,6895.2827
35054,1774.573
35055,1888.0527
35056,2364.5305
35057,428.6581
35058,373.58405
35059,7974.7656
35060,1264.5948
35061,4166.798
35062,4726.0337
35063,12753.285
35064,269.195
35065,13123.633
35066,7593.616
35067,4334.4175
35068,1257.566
35069,5476.72
35070,5538.2827
35071,4841.324
35072,1065.6188
35073,11486.736
35074,5134.8237
35075,6909.719
35076,2989.7476
35077,6642.3594
35078,12897.83
35079,1408.081
35080,7191.24
35081,6932.655
35082,5873.5015
35083,7452.597
35084,6770.261
35085,3541.0981
35086,3512.117
35087,13336.806
35088,3747.1606
35089,3616.17
35090,138.5476
35091,3177.601
35092,373.58405
35093,13013.032
35094,1612.8003
35095,6143.566
35096,4245.594
35097,8635.864
35098,3684.0366
35099,4491.175
35100,3801.9736
35101,4613.052
35102,11968.012
35103,212.89963
35104,5287.9565
35105,7002.3745
35106,7133.221
35107,3126.7107
35108,4963.681
35109,9629.0
35110,9992.056
35111,2988.3186
35112,6068.341
35113,3103.8516
35114,4865.9277
35115,7052.5786
35116,2436.0034
35117,3717.8823
35118,1343.8943
35119,10296.747
35120,6318.2407
35121,4201.4175
35122,1837.9612
35123,4280.07
35124,4768.677
35125,2213.2825
35126,7364.6035
35127,6503.2305
35128,6638.5444
35129,14984.938
35130,3855.9197
35131,1045.0205
35132,3826.3794
35133,2775.274
35134,4358.1255
35135,2281.725
35136,155.57628
35137,1567.8326
35138,4076.47
35139,1871.2361
35140,3082.4236
35141,10357.655
35142,4787.687
35143,8262.008
35144,3401.8345
35145,5610.3906
35146,6316.7334
35147,883.0685
35148,7180.0034
35149,2514.946
35150,8341.246
35151,3101.2446
35152,256.69662
35153,2302.2876
35154,8750.581
35155,428.6581
35156,4034.4624
35157,4251.134
35158,3775.3787
35159,3427.1973
35160,254.46951
35161,4389.788
35162,4173.81
35163,2847.637
35164,4133.0615
35165,7759.8354
35166,6806.1436
35167,4854.0244
35168,5616.7417
35169,3584.2188
35170,5250.827
35171,5820.4
35172,5475.5723
35173,5969.6475
35174,2207.8384
35175,11514.806
35176,6371.3403
35177,3911.689
35178,8454.321
35179,6443.997
35180,3547.0835
35181,5244.246
35182,7320.988
35183,10258.732
35184,5625.004
35185,65.163635
35186,2613.0244
35187,4766.157
35188,6785.7715
35189,3431.7766
35190,1721.9167
35191,1947.0017
35192,6419.843
35193,7992.836
35194,7235.4077
35195,9309.667
35196,19.137976
35197,189.07938
35198,6832.467
35199,4104.9795
35200,6185.652
35201,7098.3564
35202,7505.715
35203,1885.7822
35204,4299.2295
35205,3111.4927
35206,2917.5703
35207,5390.3613
35208,8179.2295
35209,2284.6467
35210,13085.1
35211,2975.3801
35212,1797.9073
35213,9915.316
35214,4481.862
35215,1243.5038
35216,9656.197
35217,1013.24854
35218,15961.054
35219,1157.8691
35220,9878.883
35221,8039.115
35222,18367.846
35223,5545.7026
35224,6348.6035
35225,6719.036
35226,15296.1
35227,6008.17
35228,4538.6724
35229,256.1811
35230,4907.365
35231,5245.643
35232,9671.708
35233,3763.136
35234,547.4955
35235,6679.2676
35236,6062.076
35237,4352.116
35238,2773.3635
35239,4350.8013
35240,11257.034
35241,10554.378
35242,8791.88
35243,6533.088
35244,3781.7544
35245,2005.9575
35246,5544.505
35247,8683.054
35248,5677.7725
35249,3979.774
35250,8269.095
35251,25717.404
35252,4973.849
35253,2842.6416
35254,2667.672
35255,3871.4487
35256,16429.537
35257,884.1687
35258,1898.1394
35259,1220.5433
35260,2476.209
35261,2987.2732
35262,385.98972
35263,11818.56
35264,2886.1353
35265,3628.684
35266,26.607573
35267,3525.2466
35268,100.72505
35269,2181.5308
35270,4607.965
35271,8489.2295
35272,16475.572
35273,1435.6633
35274,7858.5786
35275,2106.0776
35276,7885.556
35277,4185.7607
35278,3194.4146
35279,112.133804
35280,6631.8184
35281,3244.855
35282,3383.8015
35283,6827.8203
35284,4025.809
35285,6791.317
35286,12123.639
35287,5498.2017
35288,632.5764
35289,9168.39
35290,9519.917
35291,4989.3135
35292,5228.757
35293,291.71677
35294,4764.6123
35295,461.59903
35296,6643.3154
35297,6020.299
35298,5332.4707
35299,4649.028
35300,3541.682
35301,1493.9285
35302,3214.4768
35303,3477.003
35304,4240.6455
35305,17087.281
35306,546.68976
35307,5042.3086
35308,6508.891
35309,8172.312
35310,5879.314
35311,12930.177
35312,4893.9873
35313,4429.5273
35314,4443.5615
35315,3931.6897
35316,5077.4194
35317,2460.7703
35318,3827.431
35319,4978.4976
35320,5236.71
35321,225.08154
35322,2870.4197
35323,4424.157
35324,1220.5433
35325,7376.308
35326,7310.314
35327,4647.049
35328,-10.844536
35329,3320.2627
35330,3513.539
35331,6576.309
35332,137.49431
35333,3545.531
35334,3280.6309
